222	40	66	1	71	16	3	6	866
290	2	12	4	3	72	33	0	28980
13	119	5	34	46	4	0	46	2274
9	18	10	4	47	19	16	59	30592
279	24	27	44	9	15	7	32	6884
12	6	1	58	77	26	16	14	537
12	6	1	58	77	26	16	14	523
38	158	4	33	17	24	15	24	80961
242	18	63	75	6	9	11	12	5168
441	10	68	6	12	0	29	9	11493
80	59	1	78	20	3	31	22	1851
166	4	73	52	10	2	47	4	10846
122	17	55	86	5	8	10	27	6944
130	19	94	42	16	28	10	11	3427
308	31	3	44	1	33	14	21	17091
34	35	123	87	0	5	19	5	985
65	11	3	1	60	47	18	27	10558
41	133	85	41	17	0	27	3	13097
41	9	38	115	45	3	4	15	41906
258	13	9	12	8	0	63	23	28642
278	2	62	0	4	52	32	0	851
278	2	62	0	4	52	32	0	899
531	7	36	6	20	15	11	10	2625
19	66	37	33	32	2	54	10	4133
63	99	11	3	16	81	8	12	3085
48	29	51	36	38	3	59	0	8151
182	16	67	14	11	21	28	22	10292
122	0	5	6	25	42	18	45	18570
42	38	1	82	27	12	32	18	20535
45	60	16	14	34	24	23	35	18470
164	20	3	37	27	27	34	16	4754
124	24	73	76	60	0	3	1	69183
74	79	8	35	44	33	30	0	5428
18	10	13	98	15	18	12	36	40877
30	25	9	1	44	2	71	23	14840
61	216	20	24	0	0	17	32	12204
24	19	37	12	40	73	3	18	1205
62	11	104	25	7	3	53	13	6907
68	30	2	51	18	4	4	68	854
178	124	17	5	19	9	30	21	4633
9	144	6	30	7	26	10	41	4622
127	97	20	0	1	69	16	14	3166
157	112	19	1	87	7	15	0	3053
19	14	6	11	64	10	17	52	10534
6	3	31	68	12	9	59	15	9031
56	5	122	0	37	3	51	4	37790
35	295	15	2	17	6	7	22	17926
151	38	82	2	34	17	25	12	3471
199	72	3	88	9	8	13	17	3779
0	130	35	19	8	11	67	1	1408
121	43	61	27	1	21	45	10	6945
20	31	2	87	1	20	9	50	3968
269	36	5	44	73	7	3	8	21288
2	76	7	46	59	7	0	41	3119
311	73	22	18	12	4	15	30	44615
65	236	16	14	43	6	4	13	7417
18	144	53	37	23	21	14	9	35091
330	95	28	12	32	13	10	8	6547
14	14	56	93	9	2	47	7	7276
42	1	88	11	19	23	9	47	1303
30	83	19	15	57	27	32	5	22972
174	16	18	26	48	46	0	18	7117
382	87	26	3	13	26	3	17	1472
97	0	22	10	40	7	37	40	20435
2	21	155	4	26	15	1	34	3932
53	13	29	38	37	26	3	43	2927
244	46	84	9	12	7	30	11	3458
129	11	52	94	19	6	22	7	854
59	116	5	3	45	35	25	12	691
59	116	5	3	45	35	25	12	724
42	15	95	29	42	32	3	16	12584
119	48	18	7	29	55	28	7	26628
73	77	36	28	21	24	16	27	16045
78	253	6	0	3	25	7	26	3716
138	79	66	31	3	16	1	36	1907
19	54	14	17	15	4	40	51	18389
