23	14	16	14	8	19	14	15	1	7	6	0	8	12	0	5	4023
5	39	19	19	1	3	0	1	6	12	23	0	6	8	0	10	6881
22	1	12	15	6	15	20	0	10	0	4	3	16	5	12	1	4675
8	3	1	39	3	0	12	19	31	3	5	11	0	2	4	1	4155
3	53	2	9	8	5	20	2	8	2	13	1	4	15	6	3	7158
0	8	5	0	27	30	14	19	1	3	7	6	14	2	2	0	3559
0	19	2	0	13	7	22	14	2	0	1	2	16	18	2	4	3695
6	12	26	10	1	1	22	18	2	2	12	3	0	3	1	19	4991
10	2	9	7	13	1	11	8	11	5	4	13	11	6	9	2	35550
50	0	17	22	0	2	22	2	0	0	8	14	5	15	6	2	2133
72	5	5	4	7	32	8	10	1	9	1	11	6	2	8	5	5091
2	8	7	0	4	7	3	8	0	11	12	1	4	26	8	3	10641
39	2	8	6	13	0	1	4	0	14	5	33	4	10	2	1	25370
9	0	13	1	0	3	5	1	5	2	14	6	9	22	13	0	6190
16	54	8	25	7	37	6	4	16	7	3	4	1	3	1	5	11779
27	1	7	25	7	3	14	4	1	7	0	26	6	8	2	5	25807
16	1	3	28	39	1	1	1	3	33	0	4	1	2	1	13	16478
95	2	0	16	1	9	7	0	9	26	3	11	8	8	1	1	34947
2	6	5	5	8	5	2	3	7	1	19	2	9	17	2	11	18665
10	45	3	27	26	27	2	3	6	14	6	2	1	2	8	2	18839
24	1	9	1	2	3	2	7	4	26	10	6	8	15	3	2	1888
1	3	0	2	3	5	6	0	11	9	8	6	28	1	13	0	8240
6	13	10	5	1	19	0	8	29	1	2	3	5	2	15	7	11465
50	3	1	5	23	13	6	19	2	27	1	2	2	7	1	6	17001
30	4	17	12	3	3	0	4	5	12	2	19	15	0	12	2	11424
1	1	10	13	0	17	18	4	1	5	3	21	1	3	8	10	41558
3	3	0	0	2	7	1	8	7	0	35	9	12	2	8	2	23250
3	4	0	2	2	29	10	4	13	11	0	3	6	19	0	7	58062
0	7	8	24	0	4	5	16	10	0	7	24	6	2	2	7	38996
21	4	1	3	9	4	0	0	5	2	17	6	5	9	4	21	7364
41	0	0	12	2	4	5	11	1	8	11	25	0	6	8	4	18843
51	0	7	10	5	8	4	3	29	6	2	8	8	12	4	1	26006
3	17	27	8	10	24	7	0	13	4	4	5	2	1	22	0	31020
8	7	1	21	7	8	29	26	3	4	7	4	3	9	0	4	4756
65	20	0	12	2	1	5	2	8	4	22	6	3	7	15	1	24906
10	6	38	27	21	16	3	17	15	1	5	0	5	9	1	1	10105
16	44	12	23	2	1	7	9	6	18	1	6	18	2	4	1	6307
193	17	5	8	2	5	3	7	12	13	16	5	11	0	0	1	9263
5	5	9	12	0	1	1	3	6	29	3	18	6	3	8	4	18865
32	18	2	9	10	23	8	7	3	10	9	13	0	0	8	7	26605
6	0	13	9	8	0	21	0	5	4	6	20	4	10	3	8	31251
4	1	18	2	1	1	31	2	0	8	13	0	1	0	4	26	5101
28	0	0	5	3	6	7	1	16	6	19	10	8	1	7	7	14550
7	5	4	19	0	12	0	8	13	16	11	6	7	7	4	4	24903
17	36	4	0	0	50	4	4	9	2	1	2	2	20	7	1	7079
1	4	13	3	5	26	23	0	9	1	2	1	23	0	10	3	4207
20	0	0	7	1	6	41	0	2	6	1	1	3	18	16	1	9369
24	27	3	16	5	7	14	0	2	6	10	13	1	5	7	11	15743
0	27	0	9	1	19	0	8	7	3	4	16	11	4	1	13	12522
27	17	1	9	11	12	1	40	2	3	2	5	2	10	2	9	8302
2	1	0	21	27	1	9	37	3	0	2	12	0	5	3	8	14575
0	5	0	11	22	15	0	0	2	17	18	5	12	0	8	3	4672
19	5	1	0	5	10	11	14	3	21	0	16	5	8	0	7	5598
1	2	0	11	8	18	13	13	3	4	0	8	1	14	12	5	32576
2	21	5	14	4	4	2	14	0	11	6	3	4	9	3	19	2309
3	2	3	22	26	32	11	4	20	3	1	9	3	3	1	4	2743
7	19	0	4	4	3	38	1	10	2	3	7	1	11	15	2	13828
9	2	1	1	1	23	19	7	0	2	10	17	3	18	1	2	64998
4	13	12	1	3	29	8	0	12	1	0	1	2	15	9	13	32254
0	17	65	9	4	4	5	0	9	7	6	0	17	14	2	1	3335
19	9	1	6	2	7	1	10	3	11	15	32	1	0	6	2	33829
17	21	1	4	9	10	10	18	12	2	10	13	1	1	2	11	1695
7	43	67	1	5	4	4	5	4	16	3	1	4	6	8	7	6126
0	3	0	8	0	10	0	19	14	1	4	35	3	2	5	2	31315
2	29	4	0	3	20	1	9	10	4	3	16	5	6	6	9	9891
